service_id,date,exception_type
12345-MAHLV04_ST0_4_HI2122,20220114,1
12345-MAHLV04_ST0_4_HI2122,20220117,1
12345-MAHLV04_ST0_4_HI2122,20220118,1
12345-MAHLV04_ST0_4_HI2122,20220119,1
12345-MAHLV04_ST0_4_HI2122,20220120,1
12345-MAHLV04_ST0_4_HI2122,20220121,1
12345-MAHLV04_ST0_4_HI2122,20220124,1
12345-MAHLV04_ST0_4_HI2122,20220125,1
12345-MAHLV04_ST0_4_HI2122,20220126,1
12345-MAHLV04_ST0_4_HI2122,20220127,1
12345-MAHLV04_ST0_4_HI2122,20220128,1
12345-MAHLV04_ST0_4_HI2122,20220131,1
12345-MAHLV04_ST0_4_HI2122,20220201,1
12345-MAHLV04_ST0_4_HI2122,20220202,1
12345-MAHLV04_ST0_4_HI2122,20220203,1
12345-MAHLV04_ST0_4_HI2122,20220204,1
12345-MAHLV04_ST0_4_HI2122,20220207,1
12345-MAHLV04_ST0_4_HI2122,20220208,1
12345-MAHLV04_ST0_4_HI2122,20220209,1
12345-MAHLV04_ST0_4_HI2122,20220210,1
12345-MAHLV04_ST0_4_HI2122,20220211,1
1234567-MAHS01_ST5_1_HI2122,20211211,1
1234567-MAHS01_ST5_1_HI2122,20211218,1
1234567-MAHS01_ST5_1_HI2122,20211227,1
1234567-MAHS01_ST5_1_HI2122,20211228,1
1234567-MAHS01_ST5_1_HI2122,20211229,1
1234567-MAHS01_ST5_1_HI2122,20211230,1
1234567-MAHS01_ST5_1_HI2122,20211231,1
1234567-MAHS01_ST5_1_HI2122,20220108,1
1234567-MAHS01_ST5_1_HI2122,20220115,1
1234567-MAHS01_ST5_1_HI2122,20220122,1
1234567-MAHS01_ST5_1_HI2122,20220129,1
1234567-MAHS01_ST5_1_HI2122,20220205,1
1234567-MAHS01_ST5_1_HI2122,20220212,1
12345-MAVLV01_ST21_1_HI2122,20211220,1
12345-MAVLV01_ST21_1_HI2122,20211221,1
12345-MAVLV01_ST21_1_HI2122,20211222,1
12345-MAVLV01_ST21_1_HI2122,20211223,1
12345-MAVLV01_ST21_1_HI2122,20211224,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20211212,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220102,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220109,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220116,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220123,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220130,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220206,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220213,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20211219,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20211225,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20211226,1
1234567-MAHD02_ST6_2_HI2122-MAHD03_ST6_3_HI2122,20220101,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20220108,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20220115,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20220122,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20220129,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20220205,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20220212,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20211227,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20211228,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20211229,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20211230,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS05_ST5_5_HI2122,20211231,1
**3**-MFHLV10c_ST0_10_HI2122,20211215,1
**3**-MFHLV10c_ST0_10_HI2122,20220105,1
**3**-MFHLV10c_ST0_10_HI2122,20220112,1
**3**-MFHLV10c_ST0_10_HI2122,20220119,1
**3**-MFHLV10c_ST0_10_HI2122,20220126,1
**3**-MFHLV10c_ST0_10_HI2122,20220202,1
**3**-MFHLV10c_ST0_10_HI2122,20220209,1
12*45-MFHLV10c_ST0_10_HI2122,20211209,1
12*45-MFHLV10c_ST0_10_HI2122,20211210,1
12*45-MFHLV10c_ST0_10_HI2122,20211213,1
12*45-MFHLV10c_ST0_10_HI2122,20211214,1
12*45-MFHLV10c_ST0_10_HI2122,20211216,1
12*45-MFHLV10c_ST0_10_HI2122,20211217,1
12*45-MFHLV10c_ST0_10_HI2122,20220103,1
12*45-MFHLV10c_ST0_10_HI2122,20220104,1
12*45-MFHLV10c_ST0_10_HI2122,20220106,1
12*45-MFHLV10c_ST0_10_HI2122,20220111,1
12*45-MFHLV10c_ST0_10_HI2122,20220113,1
12*45-MFHLV10c_ST0_10_HI2122,20220114,1
12*45-MFHLV10c_ST0_10_HI2122,20220117,1
12*45-MFHLV10c_ST0_10_HI2122,20220118,1
12*45-MFHLV10c_ST0_10_HI2122,20220120,1
12*45-MFHLV10c_ST0_10_HI2122,20220121,1
12*45-MFHLV10c_ST0_10_HI2122,20220124,1
12*45-MFHLV10c_ST0_10_HI2122,20220125,1
12*45-MFHLV10c_ST0_10_HI2122,20220127,1
12*45-MFHLV10c_ST0_10_HI2122,20220128,1
12*45-MFHLV10c_ST0_10_HI2122,20220131,1
12*45-MFHLV10c_ST0_10_HI2122,20220201,1
12*45-MFHLV10c_ST0_10_HI2122,20220203,1
12*45-MFHLV10c_ST0_10_HI2122,20220204,1
12*45-MFHLV10c_ST0_10_HI2122,20220207,1
12*45-MFHLV10c_ST0_10_HI2122,20220208,1
12*45-MFHLV10c_ST0_10_HI2122,20220210,1
12*45-MFHLV10c_ST0_10_HI2122,20220211,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20220108,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20220115,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20220122,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20220129,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20220205,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20220212,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20211227,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20211228,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20211229,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122,20211230,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211220,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211221,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211222,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211223,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211209,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211210,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211217,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20211224,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220103,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220104,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220105,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220106,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220107,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220110,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220111,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220112,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220113,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220114,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220117,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220118,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220119,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220120,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220121,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220124,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220125,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220126,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220127,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220128,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220131,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220201,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220202,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220203,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220204,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220207,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220208,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220209,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220210,1
12345-MGHLV13_ST0_13_HI2122-MGHLV16_ST0_16_HI2122-MGHLV20_ST0_20_HI2122-MGHLV21_ST0_21_HI2122,20220211,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20211225,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20211226,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220101,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220102,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220109,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220116,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220123,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220130,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220206,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20220213,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20211212,1
1234567-MFHD00_ST6_0_HI2122-MFHD01_ST6_1_HI2122,20211219,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211209,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211210,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211213,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211214,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211215,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211216,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20211217,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220103,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220104,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220105,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220106,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220107,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220110,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220111,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220112,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220113,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220114,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220117,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220118,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220119,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220120,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220121,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220124,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220125,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220126,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220127,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220128,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220131,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220201,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220202,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220203,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220204,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220207,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220208,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220209,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220210,1
12345-MFHLV10c_ST0_10_HI2122-MFHLV10c_ST0_10_HI2122,20220211,1
*2***-MFHLV10c_ST0_10_HI2122,20211214,1
*2***-MFHLV10c_ST0_10_HI2122,20220104,1
*2***-MFHLV10c_ST0_10_HI2122,20220111,1
*2***-MFHLV10c_ST0_10_HI2122,20220118,1
*2***-MFHLV10c_ST0_10_HI2122,20220125,1
*2***-MFHLV10c_ST0_10_HI2122,20220201,1
*2***-MFHLV10c_ST0_10_HI2122,20220208,1
*2***-MFVLV01c_ST21_1_HI2122,20211221,1
1234567-MFHD00_ST6_0_HI2122,20211225,1
1234567-MFHD00_ST6_0_HI2122,20211226,1
1234567-MFHD00_ST6_0_HI2122,20220101,1
1234567-MFHD00_ST6_0_HI2122,20220102,1
1234567-MFHD00_ST6_0_HI2122,20220109,1
1234567-MFHD00_ST6_0_HI2122,20220116,1
1234567-MFHD00_ST6_0_HI2122,20220123,1
1234567-MFHD00_ST6_0_HI2122,20220130,1
1234567-MFHD00_ST6_0_HI2122,20220206,1
1234567-MFHD00_ST6_0_HI2122,20220213,1
1234567-MFHS04_ST5_4_HI2122,20220108,1
1234567-MFHS04_ST5_4_HI2122,20220115,1
1234567-MFHS04_ST5_4_HI2122,20220122,1
1234567-MFHS04_ST5_4_HI2122,20220129,1
1234567-MFHS04_ST5_4_HI2122,20220205,1
1234567-MFHS04_ST5_4_HI2122,20220212,1
1234567-MAHD02_ST6_2_HI2122,20211212,1
1234567-MAHD02_ST6_2_HI2122,20220102,1
1234567-MAHD02_ST6_2_HI2122,20220109,1
1234567-MAHD02_ST6_2_HI2122,20220116,1
1234567-MAHD02_ST6_2_HI2122,20220123,1
1234567-MAHD02_ST6_2_HI2122,20220130,1
1234567-MAHD02_ST6_2_HI2122,20220206,1
1234567-MAHD02_ST6_2_HI2122,20220213,1
12345-MGHLV16_ST0_16_HI2122,20211209,1
12345-MGHLV16_ST0_16_HI2122,20211210,1
12345-MGHLV16_ST0_16_HI2122,20211217,1
12345-MGHLV13_ST0_13_HI2122,20211220,1
12345-MGHLV13_ST0_13_HI2122,20211221,1
12345-MGHLV13_ST0_13_HI2122,20211222,1
12345-MGHLV13_ST0_13_HI2122,20211223,1
12345-MEILVI02_ST21_2_HI2122,20211220,1
12345-MEILVI02_ST21_2_HI2122,20211221,1
12345-MEILVI02_ST21_2_HI2122,20211222,1
12345-MEILVI02_ST21_2_HI2122,20211223,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211209,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211210,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211213,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211214,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211216,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211217,1
12345-MEHLV08_ST8_8_HI2122-MEHW08_ST11_8_HI2122,20211215,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20220108,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20220115,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20220122,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20220129,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20220205,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20220212,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20211227,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20211228,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20211229,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20211230,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20211211,1
1234567-MEHS00_ST5_0_HI2122-MEHS01_ST5_1_HI2122-MEHS04_ST5_4_HI2122,20211218,1
1234567-MFHD01_ST6_1_HI2122,20211212,1
1234567-MFHD01_ST6_1_HI2122,20211219,1
12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211220,1
12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211221,1
12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211222,1
12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211223,1
12345-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211224,1
12345-MGHLV19_ST0_19_HI2122,20211213,1
12345-MGHLV19_ST0_19_HI2122,20211214,1
12345-MGHLV19_ST0_19_HI2122,20211215,1
12345-MGHLV19_ST0_19_HI2122,20211216,1
12345-MSILV01_ST21_1_HI2122,20211220,1
12345-MSILV01_ST21_1_HI2122,20211221,1
12345-MSILV01_ST21_1_HI2122,20211222,1
12345-MSILV01_ST21_1_HI2122,20211223,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211209,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211210,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211213,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211214,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211216,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20211217,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220103,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220104,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220106,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220107,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220110,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220111,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220113,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220114,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220117,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220118,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220120,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220121,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122-MEILVI02_ST21_2_HI2122-MEILVI03_ST21_3_HI2122,20220124,1
